doc_id,date,tip,period,canonical,label,count,max_score
2025-03-08_am-avut-ieri-placerea-de-a-oferi-flori-doamnelor-care-lucrea,2025-03-08,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.813
2025-03-08_am-avut-ieri-placerea-de-a-oferi-flori-doamnelor-care-lucrea,2025-03-08,facebook-post,2025Q2 campanie + investitură,romaniaputernica,țară,1,0.789
2025-03-08_ce-ne-am-face-fara-femeile-din-viata-noastra-azi-sa-le-sarba,2025-03-08,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.934
2025-03-08_ce-ne-am-face-fara-femeile-din-viata-noastra-azi-sa-le-sarba,2025-03-08,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.621
2025-03-08_de-8-martie-femeile-sunt-sarbatorite-cu-flori-si-complimente,2025-03-08,facebook-post,2025Q2 campanie + investitură,direcția generală de asistență socială a municipiului bucurești,instituție națională,1,0.625
2025-03-09_fiecare-conversatie-cu-tinerii-este-o-lectie-despre-dorinta,2025-03-09,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.957
2025-03-09_fiecare-conversatie-cu-tinerii-este-o-lectie-despre-dorinta,2025-03-09,facebook-post,2025Q2 campanie + investitură,nicusordan,persoană politică,1,0.793
2025-03-09_fiecare-conversatie-cu-tinerii-este-o-lectie-despre-dorinta,2025-03-09,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.817
2025-03-09_sa-nu-uitam-niciodata-am-depus-astazi-o-coroana-de-flori-la,2025-03-09,facebook-post,2025Q2 campanie + investitură,ion i.c. brătianu,persoană politică,1,0.846
2025-03-09_sa-nu-uitam-niciodata-am-depus-astazi-o-coroana-de-flori-la,2025-03-09,facebook-post,2025Q2 campanie + investitură,iuliu maniu,persoană politică,1,0.906
2025-03-11_facem-curatenia-de-primavara-in-parcurile-pe-care-le-adminis,2025-03-11,facebook-post,2025Q2 campanie + investitură,primăriei municipiului bucurești,instituție națională,1,0.465
2025-03-11_partidele-politice-corupte-care-au-promovat-incompetenti-in,2025-03-11,facebook-post,2025Q2 campanie + investitură,curții constituționale,instituție internațională,1,0.505
2025-03-11_partidele-politice-corupte-care-au-promovat-incompetenti-in,2025-03-11,facebook-post,2025Q2 campanie + investitură,statul român,țară,1,0.668
2025-03-11_partidele-politice-corupte-care-au-promovat-incompetenti-in,2025-03-11,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.914
2025-03-11_partidele-politice-corupte-care-au-promovat-incompetenti-in,2025-03-11,facebook-post,2025Q2 campanie + investitură,romaniaputernica,țară,1,0.912
2025-03-12_am-semnat-un-acord-cadru-pe-patru-ani-prin-administratia-str,2025-03-12,facebook-post,2025Q2 campanie + investitură,asb,instituție națională,4,0.681
2025-03-12_domnul-cristian-tudor-popescu-mi-a-solicitat-la-finalul-inte,2025-03-12,facebook-post,2025Q2 campanie + investitură,cristian tudor popescu,persoană politică,1,0.862
2025-03-13_34-4-milioane-de-euro-pentru-modernizarea-sistemului-de-term,2025-03-13,facebook-post,2025Q2 campanie + investitură,banca europeană de investiții,instituție internațională,1,0.781
2025-03-13_lucrurile-importante-nu-sunt-doar-cele-care-se-vad-la-supraf,2025-03-13,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.756
2025-03-13_lupta-de-10-ani-cu-institutiile-strambe-ale-statului-si-cu-m,2025-03-13,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.701
2025-03-13_niciodata-nu-am-suportat-nedreptatea-am-luptat-peste-10-ani,2025-03-13,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.665
2025-03-13_niciodata-nu-am-suportat-nedreptatea-am-luptat-peste-10-ani,2025-03-13,facebook-post,2025Q2 campanie + investitură,nicusorpresedinte,persoană politică,1,0.459
2025-03-13_tomograful-sonic-picus-detecteaza-in-mod-non-invaziv-eventua,2025-03-13,facebook-post,2025Q2 campanie + investitură,alpab,instituție națională,1,0.473
2025-03-14_arcul-de-triumf-va-fi-deschis-permanent-pentru-vizitare-ince,2025-03-14,facebook-post,2025Q2 campanie + investitură,regelui carol al ii-lea,persoană politică,1,0.643
