word,importance,mean_scris,mean_vorbit,ratio_vorbit_over_scris
vedea,0.0011646863033121177,0.0005865800249199289,0.0008823642827943049,1.5042521826663837
cineva,0.0011006168009235482,0.00012382145840792458,0.0004621161257674696,3.732116643668075
rămâne,0.000945264723987528,0.002450320774371833,0.0006110785555108481,0.24938716673432476
celălalt,0.0008474927462371849,0.0005269150518373551,0.0006129080212742849,1.1632008217208294
altul,0.0007901505653869417,0.0005319632868245487,0.0011503500768685062,2.162461405438892
ține,0.000672925906362798,0.0005021086050567866,0.0007668193872322908,1.5271982585233057
exista,0.0006100784511961294,0.00016939622169214008,0.0005935148026731461,3.5037074424941848
părea,0.0005291891287271066,0.00011251878373727114,0.000491015887440921,4.3638570479701615
nimic,0.0005158388444317958,0.00038258269487703576,0.00035948857632293256,0.9396362698487296
lua,0.0005146470119836436,0.00045789245772588253,0.0006342639564066915,1.3851810522426071
anumit,0.0004599519939364835,0.00021539618962890597,0.0006200205625904836,2.878512213510751
fie,0.0004398397188439514,0.0006852068803488464,0.00044174110703277224,0.6446828245622358
vreun,0.00042033153208773766,0.00022051197179182223,0.0006170927390313585,2.798454587372402
răspunde,0.0003262064165365594,0.00021363644809631248,0.0005426482411212227,2.540054592541174
n,0.0003055053886440858,0.0,0.0003514281423171502,3.514281423171502
